R (Å),QM V(r) (Hartree),QM V(r) (kJ/mol),Lennard-Jones V(r) (kJ/mol)
3.0,0.00305498,8.02084999,9.681427172429776
3.25,0.00051811,1.360297805,1.6976314646173989
3.5,-0.00027898,-0.73246199,-0.5135544287810186
3.75,-0.00044082,-1.15737291,-0.9804697964965369
3.775,-0.00044187,-1.160129685,-0.9890948470407994
3.8,-0.00044132,-1.15868566,-0.9937660111665277
3.85,-0.00043621,-1.1452693550000002,-0.9931708610188278
4.0,-0.0003996,-1.0491498000000001,-0.9381546776402935
4.25,-0.00031312,-0.82209656,-0.7742036318563262
4.5,-0.0002323,-0.60990365,-0.6067860814332052
5.0,-0.00012296,-0.32283148,-0.35738162839350107
6.0,-3.777e-05,-0.099165135,-0.12850599072918442
7.0,-1.403e-05,-0.036835765,-0.052024273751156605
