student_id,course_type,study_hours_per_week,sleep_hours_per_night,attendance_percent,practice_tests_completed,exam_score_percent
S001,Biology,11.2,5.9,71.5,1,85.1
S002,Mathematics,5.8,7.2,80.9,6,92.0
S003,Programming,13.0,7.2,60.9,5,100.0
S004,Programming,13.8,8.5,64.4,3,100.0
S005,Biology,2.2,7.9,100.0,1,84.4
S006,Programming,4.8,7.4,66.6,4,92.8
S007,Mathematics,10.5,8.6,68.8,3,95.9
S008,Programming,8.7,5.7,100.0,4,98.9
S009,Biology,9.9,6.3,100.0,3,87.7
S010,Programming,6.6,6.0,67.9,1,75.3
S011,Programming,13.5,6.6,77.6,1,100.0
S012,Biology,13.1,5.5,86.1,4,100.0
S013,Biology,10.3,7.7,100.0,0,92.6
S014,Programming,14.5,6.8,70.2,1,100.0
S015,Mathematics,11.9,5.4,79.1,3,97.5
S016,Mathematics,6.6,5.9,91.3,5,99.3
S017,Biology,11.5,7.3,87.2,1,95.0
S018,Programming,6.2,7.9,77.5,4,85.0
S019,Mathematics,13.5,9.2,80.4,2,100.0
S020,Mathematics,9.8,10.0,65.5,3,73.0
S021,Mathematics,9.3,7.5,79.1,1,89.1
S022,Biology,7.3,5.9,78.8,3,59.2
S023,Mathematics,14.9,4.7,84.8,4,91.3
S024,Programming,9.4,7.3,75.3,3,93.8
S025,Biology,8.3,6.1,87.7,4,95.0
S026,Biology,8.6,6.5,94.2,3,83.8
S027,Biology,12.1,6.3,83.9,1,87.1
S028,Programming,11.5,6.8,86.2,4,100.0
S029,Programming,11.7,8.2,82.6,3,95.2
S030,Mathematics,11.7,7.2,82.0,0,100.0
S031,Programming,18.6,6.8,73.3,2,100.0
S032,Biology,8.4,5.9,85.8,5,96.4
S033,Programming,8.0,5.2,80.8,4,99.3
S034,Mathematics,6.7,6.5,100.0,7,100.0
S035,Biology,12.5,6.9,100.0,2,92.8
S036,Programming,14.5,8.9,86.6,2,100.0
S037,Programming,9.5,7.1,72.8,2,87.5
S038,Mathematics,6.6,8.1,68.7,2,72.3
S039,Mathematics,6.7,6.5,96.3,3,86.3
S040,Programming,12.6,5.7,85.2,2,89.8
S041,Mathematics,13.0,5.9,87.8,6,100.0
S042,Biology,12.2,6.2,61.1,1,87.3
S043,Mathematics,7.3,9.3,93.1,2,88.7
S044,Programming,10.9,6.1,87.5,6,100.0
S045,Programming,10.5,7.9,68.7,2,91.6
S046,Programming,10.9,6.0,76.3,3,96.5
S047,Programming,13.5,8.0,85.2,2,93.4
S048,Programming,10.9,7.4,82.6,2,86.0
S049,Mathematics,12.7,6.8,78.5,2,100.0
S050,Programming,10.3,7.0,80.8,5,95.4
S051,Biology,11.2,6.3,79.0,1,78.9
S052,Programming,12.5,7.5,83.8,5,100.0
S053,Programming,4.2,6.5,99.7,5,91.6
S054,Biology,8.7,5.7,51.2,2,68.2
S055,Biology,8.1,5.6,79.2,3,87.8
S056,Programming,7.4,7.2,84.1,1,88.3
S057,Programming,8.9,8.7,85.6,4,99.1
S058,Programming,16.0,7.2,77.5,5,100.0
S059,Mathematics,6.5,6.9,60.9,6,78.3
S060,Mathematics,13.9,7.3,85.9,6,100.0
S061,Programming,3.3,8.4,100.0,3,82.2
S062,Programming,8.7,7.2,63.6,0,75.5
S063,Mathematics,10.7,6.5,92.4,7,100.0
S064,Biology,12.3,8.2,78.1,4,100.0
S065,Mathematics,12.8,7.5,81.3,1,100.0
S066,Mathematics,13.2,8.7,69.4,3,100.0
